"","RT","true","inter","cnt","mask","noise","ID","type","eta_pro","eta_re"
"1",634.7810998559,1,0,0,0,0,1,"1",-90,0
"2",538.203299976885,1,0,0,0,0,1,"2",90,-90
"3",512.26200000383,1,0,0,0,0,1,"1",-90,0
"4",456.118799978867,1,0,0,0,0,1,"1",-90,0
"5",511.30779995583,1,0,0,0,0,1,"1",-90,0
"6",502.921599894762,1,0,0,0,0,1,"1",-90,0
"7",486.586899962276,1,0,0,0,0,1,"1",-90,0
"8",454.949799925089,1,0,0,0,0,1,"1",-90,0
"9",422.624600119889,1,0,0,0,0,1,"1",-90,0
"10",374.604200012982,1,0,0,0,0,1,"1",-90,0
"11",366.416099946946,1,0,0,0,0,1,"3",-90,90
"12",430.217999964952,1,0,0,0,0,1,"1",-90,0
"13",366.49479996413,1,0,0,0,0,1,"1",-90,0
"14",494.308700086549,1,0,0,0,0,1,"2",90,-90
"15",358.346699969843,1,0,0,0,0,1,"3",-90,90
"16",502.386000007391,1,0,0,0,0,1,"1",-90,0
"17",405.80640011467,1,0,0,0,0,1,"1",-90,0
"18",357.739900005981,1,0,0,0,0,1,"3",-90,90
"19",502.199799986556,1,0,0,0,0,1,"4",-90,-90
"20",413.181999931112,1,0,0,0,0,1,"1",-90,0
"21",453.237000154331,1,0,0,0,0,1,"4",-90,-90
"22",333.440799964592,1,0,0,0,0,1,"1",-90,0
"23",445.76989999041,1,0,0,0,0,1,"1",-90,0
"24",317.871700040996,1,0,0,0,0,1,"4",-90,-90
"25",445.182300172746,1,0,0,0,0,1,"1",-90,0
"26",429.00410015136,1,0,0,0,0,1,"1",-90,0
"27",349.074099911377,1,0,0,0,0,1,"1",-90,0
"28",676.951400004327,1,0,0,0,0,1,"2",90,-90
"29",293.784899869934,1,0,0,0,0,1,"1",-90,0
"30",285.528700100258,1,0,0,0,0,1,"4",-90,-90
"31",461.580800125375,1,0,0,0,0,1,"1",-90,0
"32",461.552300024778,1,0,0,0,0,1,"4",-90,-90
"33",493.481299839914,1,0,0,0,0,1,"1",-90,0
"34",573.326299898326,1,0,0,0,0,1,"3",-90,90
"35",546.290900092572,1,0,0,0,0,1,"1",-90,0
"36",368.218600051478,1,0,0,0,0,1,"3",-90,90
"37",488.413000013679,1,0,0,0,0,1,"1",-90,0
"38",480.058199958876,1,0,0,0,0,1,"1",-90,0
"39",600.534799974412,1,0,0,0,0,1,"2",90,-90
"40",603.683300083503,1,0,0,0,0,1,"1",-90,0
"41",407.064500031993,1,0,0,0,0,1,"1",-90,0
"42",471.046900143847,1,0,0,0,0,1,"1",-90,0
"43",439.453300088644,1,0,0,0,0,1,"1",-90,0
"44",495.482599828392,1,0,0,0,0,1,"1",-90,0
"45",478.971800068393,1,0,0,0,0,1,"2",90,-90
"46",783.300699898973,1,0,0,0,0,1,"1",-90,0
"47",483.207599958405,1,0,0,0,0,1,"1",-90,0
"48",435.579600045457,1,0,0,0,0,1,"1",-90,0
"49",475.717699853703,1,0,0,0,0,1,"1",-90,0
"50",451.236699940637,1,0,0,0,0,1,"1",-90,0
"251",301.832499999932,1,0,0,0,0,2,"4",-90,-90
"252",367.359800000031,1,0,0,0,0,2,"4",-90,-90
"253",544.315600000004,1,0,0,0,0,2,"1",-90,0
"254",406.781599999931,1,0,0,0,0,2,"1",-90,0
"255",351.034499999969,1,0,0,0,0,2,"1",-90,0
"256",505.129899999929,1,0,0,0,0,2,"1",-90,0
"257",369.624700000031,1,0,0,0,0,2,"1",-90,0
"258",546.878600000014,1,0,0,0,0,2,"1",-90,0
"259",544.850100000076,1,0,0,0,0,2,"1",-90,0
"260",519.409499999938,1,0,0,0,0,2,"1",-90,0
"261",518.666100000019,1,0,0,0,0,2,"2",90,-90
"262",630.765100000076,1,0,0,0,0,2,"1",-90,0
"263",545.590599999969,1,0,0,0,0,2,"1",-90,0
"264",560.256400000071,1,0,0,0,0,2,"1",-90,0
"265",454.282899999953,1,0,0,0,0,2,"1",-90,0
"266",391.355399999952,1,0,0,0,0,2,"3",-90,90
"267",415.926900000045,1,0,0,0,0,2,"1",-90,0
"268",457.473699999923,1,0,0,0,0,2,"1",-90,0
"269",618.91629999991,1,0,0,0,0,2,"2",90,-90
"270",575.158399999964,1,0,0,0,0,2,"4",-90,-90
"271",419.205199999965,1,0,0,0,0,2,"1",-90,0
"272",787.712300000067,1,0,0,0,0,2,"2",90,-90
"273",481.093800000053,1,0,0,0,0,2,"1",-90,0
"274",569.892399999958,1,0,0,0,0,2,"1",-90,0
"275",471.389899999963,1,0,0,0,0,2,"1",-90,0
